number,french_lemma,thematic,pos,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency
133,connaître,none,v,to know,* je le connaissais depuis vingt ans -- I had known him for twenty years,je le connaissais depuis vingt ans,6,I had known him for twenty years,83,10612,83 | 10612
134,jusque,none,"adv,prep","to, up to, until",* ils me poursuivirent jusque dans la rue -- they followed me right into the street,ils me poursuivirent jusque dans la rue,7,they followed me right into the street,85,9482,85 | 9482
135,croire,none,v,to believe,* je n'arrive pas à y croire -- I just can't believe it,je n'arrive pas à y croire,6,I just can't believe it,77,15044-n,77 | 15044-n
136,homme,Relationships,nm,man,* l'homme est plus important que l'État -- man is more important than country,l'homme est plus important que l'État,6,man is more important than country,76,15266,76 | 15266
137,cas,none,nm(pl),case,"* en tout cas, moi, je ne l'ai pas -- in any case, I don't have it","en tout cas, moi, je ne l'ai pas",8,"in any case, I don't have it",80,12096,80 | 12096
138,petit,none,nadj,"small, little",* ce petit drogué n'a pas tort -- this little drug addict isn't wrong,ce petit drogué n'a pas tort,6,this little drug addict isn't wrong,76,15029,76 | 15029
139,commencer,none,v,"to begin, start",* il est important que ces entretiens commencent immédiatement -- it's important that these meetings start immediately,il est important que ces entretiens commencent immédiatement,8,it's important that these meetings start immediately,88,6996,88 | 6996
140,compter,none,v,to count,* je peux compter sur toi -- I can count on you,je peux compter sur toi,5,I can count on you,89,6072,89 | 6072
141,fait,none,"adj,nm","done, fact","* dans les faits, il a raison -- factually, he is correct","dans les faits, il a raison",6,"factually, he is correct",80,12241,80 | 12241
142,tel,none,"adj,det,pro",such,* je vais m'abstenir d'employer un tel langage -- I'm going to refrain from using such language,je vais m'abstenir d'employer un tel langage,7,I'm going to refrain from using such language,84,9491,84 | 9491
143,droit,none,"adj,adv,nm",right,* elle a le droit de tout savoir -- she has the right to know everything,elle a le droit de tout savoir,7,she has the right to know everything,78,13566,78 | 13566
144,question,Creating nouns – 2,nf,question,* je suis gêné de répondre à cette question -- I'm embarrassed to answer this question,je suis gêné de répondre à cette question,8,I'm embarrassed to answer this question,68,20584+s,68 | 20584+s
145,donc,none,conj,"so, then, therefore, thus",* nous avons donc dû faire les calculs nous-mêmes -- we had to do the calculations ourselves,nous avons donc dû faire les calculs nous-mêmes,8,we had to do the calculations ourselves,74,15588,74 | 15588
146,quel,none,"det,adj,pro","which, what",* quel livre cherchiez-vous? -- which book are you looking for?,quel livre cherchiez-vous?,3,which book are you looking for?,80,11958,80 | 11958
147,général,none,nadj,general,* voici quelques conseils généraux -- here are a few general pieces of advice,voici quelques conseils généraux,4,here are a few general pieces of advice,82,10245,82 | 10245
148,moment,Time,nm,moment,* arrête de parler pour un moment -- stop talking for a moment,arrête de parler pour un moment,6,stop talking for a moment,82,10053,82 | 10053
149,entendre,Verbs of communication,v,to hear,* j'ai entendu la nouvelle -- I heard the news,j'ai entendu la nouvelle,4,I heard the news,81,10290,81 | 10290
150,beaucoup,Adverbs – differences across registers,adv,"much, a lot of, many",* il est en mesure de révéler beaucoup de choses -- he's in a position to reveal many things,il est en mesure de révéler beaucoup de choses,9,he's in a position to reveal many things,78,12421,78 | 12421
151,chaque,none,"det,adj",each,* chaque entreprise doit avoir sa propre organisation -- every company must have its own organization,chaque entreprise doit avoir sa propre organisation,7,every company must have its own organization,86,7202,86 | 7202
152,jeune,Emotions,nadj(f),young,* le gouvernement cherche à exploiter les jeunes -- the government is trying to exploit young people,le gouvernement cherche à exploiter les jeunes,7,the government is trying to exploit young people,83,9357,83 | 9357
153,travail,none,nm,work,* je ne prenais pas mon travail au sérieux -- I wasn't taking my work seriously,je ne prenais pas mon travail au sérieux,8,I wasn't taking my work seriously,78,11952,78 | 11952
154,femme,none,nf,"woman, wife",* je vous déclare maintenant mari et femme -- I now declare you husband and wife,je vous déclare maintenant mari et femme,7,I now declare you husband and wife,78,12016,78 | 12016
155,attendre,none,v,to wait,* ma mère m'attend dans la grande salle -- my mother awaits me in the large room,ma mère m'attend dans la grande salle,7,my mother awaits me in the large room,82,9327,82 | 9327
156,remettre,none,v,"to deliver, replace, set, put",* on s'est remis à marcher -- we resumed walking,on s'est remis à marcher,5,we resumed walking,93,3181,93 | 3181
157,appeler,Verbs of communication,v,to call,* comment s'appelle-t-il? -- what's his name?,comment s'appelle-t-il?,2,what's his name?,83,8899,83 | 8899
158,permettre,none,v,to allow,* vous permettez que j'utilise votre téléphone? -- would you allow me to use your telephone?,vous permettez que j'utilise votre téléphone?,6,would you allow me to use your telephone?,78,11760,78 | 11760
