number,french_lemma,thematic,pos,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency
658,total,none,nadj,total,"* Ming, c'est l'anarchiste total -- Ming is the absolute anarchist","Ming, c'est l'anarchiste total",4,Ming is the absolute anarchist,76,2793,76 | 2793
659,image,none,nf,"picture, image",* certains films contiennent des images fameuses -- some films contain famous images,certains films contiennent des images fameuses,6,some films contain famous images,74,3088,74 | 3088
660,date,Time,nf,date,* c'est la vraie date de ton anniversaire -- that's the real date of your birthday,c'est la vraie date de ton anniversaire,7,that's the real date of your birthday,82,1979,82 | 1979
661,travers,none,nm(pl),"breadth, across; fault, amiss",* le héros se promenait à travers le monde -- the hero walked across the world,le héros se promenait à travers le monde,8,the hero walked across the world,78,2617,78 | 2617
662,contrôle,none,nm,control,* la situation est complètement sous contrôle -- the situation is completely under control,la situation est complètement sous contrôle,6,the situation is completely under control,71,3598,71 | 3598
663,énorme,none,adj(f),enormous,* je pense que c'est un énorme effort -- I think it's an enormous effort,je pense que c'est un énorme effort,7,I think it's an enormous effort,87,1415,87 | 1415
664,conserver,none,v,"to keep, preserve","* cette petite note, je la conserve comme un trésor -- this little note I keep like a treasure","cette petite note, je la conserve comme un trésor",9,this little note I keep like a treasure,88,1252,88 | 1252
665,réel,Emotions,nadj,real,* nous avons toutefois un problème réel -- we still have a real problem,nous avons toutefois un problème réel,6,we still have a real problem,78,2535,78 | 2535
666,campagne,none,nf,countryside,* les gens allaient dormir à la campagne -- people were going into the countryside to sleep,les gens allaient dormir à la campagne,7,people were going into the countryside to sleep,80,2229,80 | 2229
667,naître,none,v,to be born,* il était né lui-même dans une famille de onze enfants -- he himself was born into a family of eleven children,il était né lui-même dans une famille de onze enfants,10,he himself was born into a family of eleven children,80,2310,80 | 2310
668,accorder,none,v,to grant,* les banques ont cessé d'accorder des prêts -- the banks stopped granting loans,les banques ont cessé d'accorder des prêts,7,the banks stopped granting loans,74,3069,74 | 3069
669,tourner,Verbs of movement,v,to turn,* je trouvai un commutateur et le tournai -- I found a switch and turned it,je trouvai un commutateur et le tournai,7,I found a switch and turned it,74,3100,74 | 3100
670,participer,none,v,to participate,* elle a participé à la création du Mouvement -- she participated in creation of the Movement,elle a participé à la création du Mouvement,8,she participated in creation of the Movement,73,3262,73 | 3262
671,vieux,none,"adj(pl),nm(pl)",old,"* ça fait trop longtemps, mon vieil ami -- it has been too long, my old friend","ça fait trop longtemps, mon vieil ami",7,"it has been too long, my old friend",66,4194,66 | 4194
672,rapide,none,nadj(f),"fast, quick",* elle parle d'une voix rapide et menue -- she talks in a rapid and small voice,elle parle d'une voix rapide et menue,7,she talks in a rapid and small voice,86,1458,86 | 1458
673,respecter,none,v,to respect,* j'avais le pouvoir. j'étais respecté -- I had power. I was respected,j'avais le pouvoir. j'étais respecté,5,I had power. I was respected,76,2726,76 | 2726
674,passage,Natural features and plants,nm,"passage, way",* je lirai seulement un petit passage -- I will only read a short passage,je lirai seulement un petit passage,6,I will only read a short passage,82,1976,82 | 1976
675,essentiel,none,nadj,essential,* ils sont tous désignés comme employés essentiels -- they are all designated essential employees,ils sont tous désignés comme employés essentiels,7,they are all designated essential employees,80,2225,80 | 2225
676,adopter,Verbs – differences across registers,v,to adopt,* j'hésite pour ma part à adopter l'idée -- I for one hesitate to adopt the idea,j'hésite pour ma part à adopter l'idée,7,I for one hesitate to adopt the idea,58,5500+s,58 | 5500+s
677,subir,none,v,"to undergo, be subjected to, suffer",* certaines autres ont subi de terribles ravages -- certain others suffered terrible ravages,certaines autres ont subi de terribles ravages,7,certain others suffered terrible ravages,86,1533,86 | 1533
678,environ,Adverbs – differences across registers,"adv,prep,nm","about, thereabouts, or so",* mon père et ma mère sont mariés depuis environ 60 ans -- my father and mother have been married for about 60 years,mon père et ma mère sont mariés depuis environ 60 ans,11,my father and mother have been married for about 60 years,71,3450,71 | 3450
679,expérience,none,nf,experience,* ça va te donner de l'expérience -- this will give you experience,ça va te donner de l'expérience,6,this will give you experience,76,2734,76 | 2734
680,admettre,Verbs of communication,v,to admit,* je dois admettre que je suis toujours célibataire -- I must admit that I'm still single,je dois admettre que je suis toujours célibataire,8,I must admit that I'm still single,85,1565,85 | 1565
681,découvrir,none,v,to discover,* la sœur a découvert la fenêtre cassée -- the sister discovered the broken window,la sœur a découvert la fenêtre cassée,7,the sister discovered the broken window,78,2535,78 | 2535
682,couvrir,none,v,to cover,* il était couvert de taches de sang -- he was covered by blood stains,il était couvert de taches de sang,7,he was covered by blood stains,86,1477,86 | 1477
683,assister,none,v,"to attend; to assist, help",* il assista à la dernière répétition -- he attended the last rehearsal,il assista à la dernière répétition,6,he attended the last rehearsal,87,1402,87 | 1402
684,sénateur,Nouns – differences across registers,nm,senator,* les honorables sénateurs ont été si généreux -- the honorable senators were very generous,les honorables sénateurs ont été si généreux,7,the honorable senators were very generous,44,8224-l -n +s,44 | 8224-l -n +s
685,dépasser,none,v,"to pass, go beyond",* personne ne dépasse son potentiel -- no one exceeds his potential,personne ne dépasse son potentiel,5,no one exceeds his potential,82,1991,82 | 1991
686,affirmer,Verbs – differences across registers,v,"to affirm, maintain, declare, allege",* ce témoin a affirmé avoir vu trois hommes -- this witness alleged to have seen three men,ce témoin a affirmé avoir vu trois hommes,8,this witness alleged to have seen three men,65,4373,65 | 4373
687,soumettre,none,v,to submit,"* de retour chez eux, elle l'a soumis à un ultime test -- back at their place, she put him to the final test","de retour chez eux, elle l'a soumis à un ultime test",11,"back at their place, she put him to the final test",83,1905,83 | 1905
688,financier,Professions,nadj,"financial, financier",* j'ai aussi travaillé dans le monde financier -- I also worked in the financial sector,j'ai aussi travaillé dans le monde financier,7,I also worked in the financial sector,67,3986,67 | 3986
689,processus,none,nm(pl),process,* j'ai été renseigné à chaque étape du processus -- I was kept informed at each stage of the process,j'ai été renseigné à chaque étape du processus,8,I was kept informed at each stage of the process,72,3316,72 | 3316
690,militaire,Professions,nadj(f),military,* la justice militaire me donne le droit à un avocat -- the military code of justice grants me the right to an attorney,la justice militaire me donne le droit à un avocat,10,the military code of justice grants me the right to an attorney,65,4334,65 | 4334
691,frais,Weather,"adj(pl),nm(pl)","cool, fresh; fee, expense",* on me paie mes frais de déplacement -- my travel expenses are being covered,on me paie mes frais de déplacement,7,my travel expenses are being covered,85,1563,85 | 1563
692,industrie,none,nf,industry,* le tourisme est une industrie saisonnière -- tourism is a seasonal industry,le tourisme est une industrie saisonnière,6,tourism is a seasonal industry,68,3801,68 | 3801
693,apparaître,none,v,to appear,* son nom apparaissait dans une autre liste -- her name appeared on another list,son nom apparaissait dans une autre liste,7,her name appeared on another list,79,2342,79 | 2342
694,responsabilité,none,nf,responsibility,* il porte la seule responsabilité -- he alone is responsible,il porte la seule responsabilité,5,he alone is responsible,74,2969,74 | 2969
695,réserver,none,v,"to reserve, keep",* je veux ce que l'avenir me réserve -- I want what the future is keeping from me,je veux ce que l'avenir me réserve,7,I want what the future is keeping from me,88,1222,88 | 1222
696,porte,none,nf,door,* veuillez fermer la porte derrière vous -- please close the door after you,veuillez fermer la porte derrière vous,6,please close the door after you,68,3897,68 | 3897
697,victime,none,nf,victim,* nos prières vont aux victimes -- our prayers go out to the victims,nos prières vont aux victimes,5,our prayers go out to the victims,70,3561,70 | 3561
698,territoire,none,nm,territory,* c'est eux autres qui occupent le territoire -- they are the ones who are occupying the territory,c'est eux autres qui occupent le territoire,7,they are the ones who are occupying the territory,78,2415,78 | 2415
699,pauvre,Relationships,nadj(f),poor,"* vous êtes idiote, ma pauvre femme, comme toujours -- you're an idiot, my poor woman, as always","vous êtes idiote, ma pauvre femme, comme toujours",8,"you're an idiot, my poor woman, as always",78,2485,78 | 2485
700,taux,none,nm(pl),rate,* les taux d'intérêt ont notablement haussé -- interest rates have risen appreciably,les taux d'intérêt ont notablement haussé,6,interest rates have risen appreciably,62,4761,62 | 4761
701,organiser,none,v,to organize,* on pensait t'organiser une fête d'anniversaire -- we were thinking of organizing a birthday party for you,on pensait t'organiser une fête d'anniversaire,6,we were thinking of organizing a birthday party for you,77,2578,77 | 2578
702,posséder,none,v,"to possess, own, have",* je possède les coupures de presse vous concernant -- I have the press clippings about you,je possède les coupures de presse vous concernant,8,I have the press clippings about you,85,1587,85 | 1587
703,matériel,none,nadj,"material, equipment",* nous avons déjà du nouveau matériel en chantier -- we already have new equipment on the construction site,nous avons déjà du nouveau matériel en chantier,8,we already have new equipment on the construction site,88,1241,88 | 1241
704,cent,none,"det,nm","one hundred, cent",* aucun des cinq cents voyageurs n'a été blessé -- none of the five hundred travelers was injured,aucun des cinq cents voyageurs n'a été blessé,8,none of the five hundred travelers was injured,64,4457,64 | 4457
